id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
171,dungba88_promise4j,1,0,6,0,1,0,2,0,1,0,2,0,maven,False,open source,121,68a8814ae6d5115bb060c839fd7bdaa02c58dd08,improvement,8,0,1,0,0,0
173,erupts_Linq.J,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,63,08389e953170590fb328a208c39fadcf33c03e00,no improvement,8,0,0,0,0,0
175,digitalfondue_npjt-extra,3,1,7,3,1,1,3,2,1,0,2,0,maven,False,open source,181,63ec2e0b2e7ab3909eaa9b4604e25f53dcb818aa,improvement,8,0,1,2,0,0
172,trinodb_tpcds,3,3,7,7,3,3,4,4,0,0,0,0,maven,False,open source,307,8a02abbba864feedc2afd078c8153d66a95bb2d4,no improvement,8,0,0,0,0,0
180,slack-samples_bolt-java-starter-template,4,1,7,1,1,0,5,1,1,0,0,0,maven,False,open source,213,623b2fe8a7a78b4e0b94f6bd67ac99a706b71d08,improvement,11,0,0,0,0,0
181,JourWon_httpclientutil,3,1,167,1,7,0,55,0,73,1,32,0,maven,False,open source,113,ffddf2126767a498023783fd02a40b590dd34d13,improvement,8,0,0,0,0,0
182,mfoo_libyear-maven-plugin,6,3,30,12,3,2,13,4,6,1,8,5,maven,False,open source,358,4f9bf3a8eac6f1614e0fe44795fcf339e6097f22,improvement,17,1,3,0,0,0
174,eh3rrera_graphql-java-spring-boot-example,13,10,429,292,39,33,178,119,177,122,35,18,maven,False,open source,1705,6e03098cd329a705ffd9e62211216034cee2ae4d,improvement,11,0,0,0,0,0
184,StefanoPenazzi_chameleonQuant,4,3,17,4,1,1,7,1,7,2,2,0,maven,False,open source,120,30d3820247963c5dbfbaa98d38e5d31cf74c3845,improvement,11,1,1,0,0,0
185,pnavais_state-machine,4,1,6,1,1,0,5,1,0,0,0,0,maven,False,open source,145,f72982e13716315534321fb2d07f5a22461f34f5,improvement,8,0,2,0,0,0
183,liyupi_sql-father-backend-public,13,11,449,274,33,22,167,94,203,128,46,30,maven,False,open source,984,57a00afb82a9546385f7cb6fd60ae20f6db058f4,improvement,8,7,0,3,0,0
186,meixuesong_aggregate-persistence,5,0,8,0,0,0,1,0,7,0,0,0,maven,False,open source,99,692371a515f0a645a03af97f17575c542f3307b3,improvement,8,0,5,0,0,0
187,nscuro_bradamsa-ng,3,0,3,0,0,0,1,0,2,0,0,0,maven,False,open source,104,fa92e5a8a3fd740482480585f781dbd2b6727cad,improvement,11,0,2,0,0,0
188,SonarSource_sonar-auth-github,4,1,23,19,1,1,14,12,8,6,0,0,maven,False,open source,136,dd8426512ea93abac41f57048cd98888b8df2466,improvement,8,1,2,0,0,0
190,cbartosiak_bson-codecs-jsr310,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,123,77e93441d009f194c7803765482dd4943754f0fd,no improvement,8,0,0,0,0,0
